data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,MQTT_package_latency_p99_ms,MQTT_package_latency_average_ms,MQTT_package_loss_pct,MQTT_devices_connected,inline_analyzed_packets_per_sec,inline_blocked_packets_per_sec
train,inline,3,512,95,16078.1907,94.9546,38.199,31.7089,0.0164,0.0164,0.0666,50.0,16427.5068,0.0
train,inline,4,384,65,12787.851,64.993,26.7371,51.1159,2.2932,1.7277,0.4649,50.0,12876.384,0.0
train,inline,1,640,35,9730.4385,35.0142,66.6287,29.0019,0.3073,0.1874,0.8662,49.0,9454.1221,0.8974
train,inline,2,1024,100,16619.04,99.9491,64.1942,27.1757,0.075,0.0121,0.0,50.0,16315.2909,0.6973
train,inline,3,384,90,15523.8106,89.9421,40.769,48.8669,0.036,0.0228,0.1332,50.0,15951.8722,5.9895
train,inline,3,512,75,13882.4062,74.9735,36.054,33.6463,0.0423,0.0377,0.3331,50.0,12649.8553,0.0
train,inline,3,896,80,14468.038,79.9884,37.5679,29.8657,0.0415,0.0341,0.2665,50.0,13907.1661,7092.0486
train,inline,1,896,100,16639.6512,100.0181,82.9359,28.5126,1.5327,0.144,0.0049,50.0,19064.7701,1.3144
train,inline,4,256,75,13863.6684,74.9768,29.0942,67.7935,0.0399,0.0322,0.3331,50.0,13278.6382,0.0
train,inline,1,896,85,15022.8056,85.0092,80.8458,28.2762,1.2451,0.1371,0.2038,50.0,16296.6488,0.0
train,inline,4,256,65,12757.5088,64.9607,28.1752,68.1081,0.047,0.0404,0.4663,50.0,9870.4892,5.1236
train,inline,4,1024,70,13326.2119,69.9829,27.4523,29.7214,0.0666,0.0462,0.3993,50.0,10682.1232,7.2122
train,inline,3,768,30,9014.8985,29.9766,29.5595,32.4221,0.094,0.0888,0.9326,50.0,6060.9409,4045.4611
train,inline,4,640,85,14987.9794,85.002,27.4717,32.4689,1.4673,1.1091,0.1989,50.0,14772.9168,0.0
train,inline,4,512,95,16086.4822,94.9853,28.4152,33.3819,0.6651,0.4975,0.0662,50.0,14768.2956,3.9969
train,inline,3,256,75,13887.1027,74.9816,41.1144,65.723,0.0499,0.0398,0.3331,50.0,17942.6215,0.0
train,inline,4,1024,25,8396.7536,25.0065,19.7268,30.9391,0.1038,0.0963,0.9983,50.0,9220.9816,0.0
train,inline,1,256,25,8720.5379,25.0556,71.9871,62.9226,0.106,0.0998,0.9992,50.0,8939.0875,4.1423
train,inline,3,256,70,13342.0272,69.9782,40.7659,65.7615,0.0506,0.0451,0.3997,50.0,16425.1186,0.0
train,inline,4,1024,75,13872.4212,75.0079,27.0422,29.5049,0.0433,0.0395,0.3328,50.0,13293.2134,0.0
train,inline,4,256,95,16072.1029,94.9519,31.3243,67.4695,0.0149,0.0149,0.0666,50.0,16111.2639,0.0
train,inline,4,768,60,12252.8178,59.9966,25.4978,31.8949,2.6343,1.9794,0.5311,50.0,12154.7692,6.1817
train,inline,4,1024,30,8942.4976,29.9985,20.5494,30.6909,0.095,0.0903,0.9317,50.0,10423.2739,0.0
train,inline,1,640,85,15048.8635,85.057,78.2746,30.503,0.8671,0.1159,0.2012,50.0,16331.5916,2.4286
train,inline,1,256,45,10812.5251,44.9282,75.4562,63.2855,0.2878,0.0968,0.7327,50.0,11043.3868,1.83
train,inline,2,896,90,15541.3671,90.0001,59.5208,28.8445,0.1229,0.0618,0.1332,50.0,14380.2946,0.0
train,inline,3,896,60,12296.8002,59.9854,34.2455,29.5231,0.0563,0.0563,0.5329,50.0,11867.9667,6678.5024
train,inline,4,256,50,11099.4295,49.9834,24.6273,68.2899,0.0522,0.0522,0.6661,50.0,10102.3379,0.0
train,inline,1,512,25,8730.329,25.085,61.0162,29.8968,0.25,0.2478,0.9992,48.0,10727.1834,0.0942
train,inline,4,640,40,10073.4112,39.981,23.2167,33.2373,5.8428,4.4043,0.7956,50.0,9887.9083,0.4827
train,inline,2,1024,95,16081.0386,94.9825,62.1226,27.9295,0.0973,0.0425,0.0666,50.0,15946.4149,0.0
train,inline,4,640,35,9534.3307,35.0029,21.5377,33.9591,6.3177,4.7699,0.8619,50.0,8944.7242,0.0
train,inline,2,512,35,9563.7204,34.9942,38.7036,32.1879,0.1012,0.0905,0.866,49.0,11260.1573,2.4608
train,inline,2,512,30,9019.3086,30.0098,36.6096,31.9831,0.0994,0.0963,0.9326,49.0,12269.8368,1.1882
train,inline,2,256,30,8912.241,29.9169,42.7799,64.3348,0.9296,0.9296,0.9326,50.0,5734.5259,0.0
train,inline,1,256,50,11340.3465,49.9086,76.697,63.939,0.3393,0.0965,0.6661,50.0,10212.242,0.0
train,inline,2,384,100,16620.0355,99.9242,54.9999,48.4114,0.0332,0.0114,0.0,50.0,11960.1317,0.724
train,inline,2,512,75,13911.9621,74.99,50.8976,30.7756,0.075,0.0424,0.3331,50.0,12031.7396,0.0378
train,inline,3,768,30,9016.2039,29.9855,29.5695,32.5417,0.0945,0.0887,0.9326,50.0,7417.8503,4043.9558
train,inline,1,768,40,10225.4118,39.9921,70.7949,28.8497,0.3876,0.1491,0.8,49.0,9357.0904,0.0
train,inline,3,896,90,15553.2557,89.9814,39.3239,29.9893,0.0365,0.0232,0.1332,50.0,12991.5517,7300.3139
train,inline,4,640,99999,18943.9811,126.8736,33.3207,31.6943,0.0288,0.0021,0.0,50.0,18832.6322,2495.9991
train,inline,2,384,65,12793.3169,64.9465,47.4032,48.509,0.2621,0.2621,0.4663,50.0,9649.4065,0.0
train,inline,4,384,50,11134.8924,49.9697,24.7777,50.9043,3.2603,2.463,0.6642,50.0,10039.1098,0.5094
train,inline,3,768,95,16088.2428,94.9724,39.3428,30.5162,0.0229,0.017,0.0666,50.0,14772.1197,4934.4136
train,inline,3,896,45,10676.2597,45.0036,31.7877,29.6064,0.0752,0.0733,0.7327,50.0,11213.9424,6371.4892
train,inline,4,256,35,9443.5047,35.0046,23.1204,68.2581,0.0728,0.0654,0.866,50.0,8402.7522,0.0
train,inline,4,768,75,13888.3262,75.0039,27.354,31.6227,1.6483,1.241,0.3319,50.0,15422.5748,0.0
train,inline,4,896,90,15518.9555,89.9817,29.8116,29.9277,0.358,0.2635,0.1329,50.0,13871.982,4.5164
train,inline,1,384,60,12406.2232,59.9716,74.6173,47.7795,0.4662,0.1299,0.5329,49.0,12424.4202,0.0
train,inline,4,640,35,9532.4888,35.0015,22.8688,33.7916,6.3288,4.7703,0.8619,50.0,9401.9647,0.0
