data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,passive_processed_packets_per_sec,passive_alerts_per_sec,passive_daq_drops_per_sec,MQTT_package_latency_p99_ms,MQTT_package_loss_pct,MQTT_devices_connected
train,passive,1,512,95,16081.6334,94.9788,85.0022,32.8342,21151.9664,302.3333,311.2344,0.0126,0.0667,50.0
train,passive,3,896,60,12281.2559,59.9666,45.035,30.9766,17267.6191,302.3333,0.0,0.5456,0.5318,50.0
train,passive,2,512,85,15023.9913,84.984,62.3316,30.4626,15909.7343,302.3333,22.601,0.2963,0.1988,50.0
train,passive,1,640,55,11757.5624,54.9647,81.485,30.5131,14838.1935,302.3333,533.3462,0.0055,0.6,50.0
train,passive,1,768,65,12840.5279,64.9862,81.4929,29.86,16788.9722,302.3333,516.7342,0.0073,0.4667,50.0
train,passive,4,256,40,10195.197,40.0205,31.3141,67.7949,9450.4167,293.5593,0.0,0.0029,0.8,50.0
train,passive,1,640,70,13381.4933,69.9895,83.1681,31.1947,15895.3819,299.0069,494.8452,0.0081,0.4,50.0
train,passive,3,1024,45,10648.7689,44.9863,43.7181,29.6754,14436.1161,302.3333,0.0,0.7485,0.7309,50.0
train,passive,4,640,90,15545.8587,90.0044,32.0619,32.484,19710.0603,302.3333,0.0,0.0258,0.1331,50.0
train,passive,3,1024,70,13371.6873,69.9273,46.4795,29.9353,18218.2832,302.3333,0.2276,0.4148,0.3987,50.0
train,passive,3,256,45,10665.962,45.0367,42.0342,67.6357,11839.2893,302.3333,0.0,31.026,0.7261,50.0
train,passive,4,768,99999,18981.1649,126.9797,36.3713,31.8824,20955.9795,286.0052,0.0,0.0016,0.0,50.0
train,passive,3,768,55,11730.6162,54.9746,44.7131,31.7391,15034.5285,302.3333,29.5028,0.609,0.5985,50.0
