data_split,vnf_profile,vCPU_cores,VNF_memory_MB,Link_Capacity_limit_Mbps,offered_load_pps,offered_load_mbps,VNF_cpu_utilization_pct,VNF_memory_utilization_pct,vfw_forwarded_packets_per_sec,vfw_dropped_packets_per_sec,MQTT_package_latency_p99_ms,MQTT_package_loss_pct,MQTT_devices_connected
train,vfw,2,768,100,16636.3685,99.9769,17.0401,25.8948,7385.6989,11107.72,0.0142,0.0,50.0
train,vfw,2,512,85,15020.8592,84.9432,20.1694,24.9137,5739.1407,10332.8721,0.0113,0.2,50.0
train,vfw,4,768,70,13337.9099,70.0243,9.2487,27.9827,4264.4023,9143.6505,0.1573,0.4007,50.0
train,vfw,2,384,30,8991.8997,29.9864,12.8391,38.5527,939.8211,8866.4387,0.0439,0.9329,50.0
train,vfw,2,768,99999,18972.2582,126.9952,30.2349,25.4947,9181.048,11415.3778,0.0015,0.0,50.0
train,vfw,3,1024,35,9594.5767,34.9949,9.1177,25.4728,1307.856,7782.3322,0.5313,0.866,50.0
train,vfw,3,512,95,16067.0044,95.0044,13.0811,25.5001,6858.6199,10832.3494,0.0133,0.0667,50.0
train,vfw,3,768,65,12834.7718,64.9959,9.8838,25.459,3401.9097,9247.2225,0.0761,0.4665,50.0
train,vfw,1,640,99999,18984.9942,126.9471,55.8268,23.1291,9433.0355,10500.4212,0.0013,0.0,50.0
train,vfw,2,640,85,15014.4416,84.9518,19.9427,25.2408,6355.1684,10873.1424,0.0163,0.2,50.0
train,vfw,1,896,60,12286.4473,59.9699,29.4184,24.3758,4099.061,10274.6351,0.0417,0.533,50.0
train,vfw,3,640,50,11228.83,50.0023,10.4811,25.398,3031.5485,9613.7289,0.1084,0.6665,50.0
train,vfw,2,896,65,12844.8442,64.9893,17.2005,25.4084,3572.2981,9429.0906,0.0423,0.4664,50.0
train,vfw,3,512,45,10691.6538,44.9989,8.7102,24.898,2407.4245,9460.4912,0.0038,0.7333,50.0
train,vfw,2,1024,45,10695.3521,45.0025,14.0849,25.6757,2735.0148,10028.7111,0.0767,0.7327,50.0
train,vfw,1,1024,75,13944.7931,74.9306,31.2662,24.3582,5456.6969,10762.6429,0.0387,0.3331,50.0
train,vfw,2,384,55,11721.8555,54.9862,16.9252,37.9844,3339.8918,9728.555,0.0332,0.5997,50.0
train,vfw,1,896,45,10637.319,44.9761,25.2556,23.7901,2518.6731,9559.3911,0.052,0.7329,50.0
train,vfw,4,384,45,10559.3846,44.9946,7.7704,41.2343,2520.42,8490.3689,0.0893,0.7327,50.0
train,vfw,1,256,65,12787.0816,64.847,43.9611,49.2458,3961.454,9713.3636,0.0483,0.4663,49.0
validation,vfw,1,256,99999,18964.1333,126.9025,40.5556,52.843,10019.6,11120.9556,0.0014,0.0,50.0
train,vfw,2,1024,30,9079.1407,30.0042,13.9228,25.7178,1116.6585,9491.3954,0.0937,0.9326,50.0
train,vfw,2,256,65,12790.4256,64.9986,19.7941,51.2427,4619.4178,10497.4527,0.0504,0.4662,50.0
train,vfw,2,512,30,9047.5675,29.9839,12.9391,24.519,1204.64,9151.9952,0.001,0.9333,50.0
